city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
kerchevskiy,ru,2017-09-08 13:41:40,56.29,59.95,46.89,98.0,100.0,14.14
khabary,ru,2017-09-08 13:41:40,79.53,53.63,34.29,82.0,0.0,2.06
khash,ir,2017-09-08 13:41:40,61.22,28.22,64.26,21.0,24.0,3.4
khorixas,na,2017-09-08 13:41:41,14.97,-20.37,68.94,58.0,36.0,4.74
kibakwe,tz,2017-09-08 13:41:41,36.37,-6.72,59.58,92.0,0.0,4.41
kilembe,ug,2017-09-08 13:41:41,30.0,0.2,65.61,100.0,80.0,0.38
kindia,gn,2017-09-08 13:41:42,-12.87,10.06,71.28,99.0,100.0,4.18
kismayo,so,2017-09-08 13:41:42,42.55,-0.36,77.85,98.0,92.0,16.82
klaksvik,fo,2017-09-08 13:20:00,-6.59,62.23,55.4,82.0,44.0,9.17
knysna,za,2017-09-08 13:00:00,23.05,-34.04,59.0,82.0,68.0,3.36
kokstad,za,2017-09-08 13:41:43,29.42,-30.55,45.72,81.0,0.0,1.61
kondagaon,in,2017-09-08 13:41:44,81.67,19.6,73.98,96.0,80.0,5.75
korablino,ru,2017-09-08 13:41:44,40.01,53.92,54.36,96.0,88.0,11.9
korla,cn,2017-09-08 13:41:44,86.15,41.76,51.12,92.0,0.0,6.08
kraljevo,rs,2017-09-08 13:00:00,20.69,43.73,62.6,72.0,0.0,2.24
krasnokholmskiy,ru,2017-09-08 13:41:45,55.05,55.99,57.15,98.0,92.0,15.48
krasnopavlivka,ua,2017-09-08 13:41:45,36.33,49.14,51.66,94.0,12.0,7.76
krasnoselkup,ru,2017-09-08 13:41:45,82.47,65.7,38.88,93.0,80.0,14.7
kruisfontein,za,2017-09-08 13:41:46,24.73,-34.0,56.52,92.0,12.0,8.21
kudahuvadhoo,mv,2017-09-08 13:41:46,72.89,2.67,80.82,100.0,68.0,14.25
kurtamysh,ru,2017-09-08 13:41:46,64.43,54.91,47.79,68.0,64.0,10.45
kuytun,cn,2017-09-08 13:41:47,84.85,44.33,56.43,61.0,0.0,8.21
lagoa,pt,2017-09-08 13:41:47,-27.98,39.05,72.18,100.0,92.0,13.69
laguna,br,2017-09-08 13:41:47,-48.78,-28.48,69.93,82.0,44.0,21.18
lakkion,gr,2017-09-08 12:50:00,26.85,37.13,71.6,73.0,0.0,8.05
lasa,cn,2017-09-08 12:55:00,10.7,46.62,68.0,87.0,40.0,6.93
lavumisa,sz,2017-09-08 13:41:48,31.89,-27.31,60.39,93.0,0.0,2.51
lebu,cl,2017-09-08 13:41:49,-73.65,-37.62,50.13,100.0,0.0,18.05
ler,sd,2017-09-08 13:20:00,24.65,60.21,51.8,87.0,75.0,8.05
lerwick,gb,2017-09-08 13:20:00,-1.15,60.15,53.6,93.0,92.0,6.93
liepaja,lv,2017-09-08 13:20:00,21.02,56.52,59.0,93.0,92.0,6.93
lima,pe,2017-09-08 13:40:09,-77.03,-12.04,67.95,57.0,0.0,2.95
lincoln,ar,2017-09-08 13:40:45,-61.53,-34.87,68.58,51.0,0.0,10.0
lira,ug,2017-09-08 13:41:56,32.91,2.23,67.41,90.0,56.0,3.06
liverpool,ca,2017-09-08 13:41:57,-64.72,44.03,62.55,83.0,0.0,11.9
loandjili,cg,2017-09-08 13:00:00,11.86,-4.76,75.2,88.0,75.0,3.36
lodja,cd,2017-09-08 13:41:57,23.43,-3.48,73.71,91.0,36.0,2.39
longyearbyen,sj,2017-09-08 12:50:00,15.64,78.22,41.0,93.0,40.0,2.24
los andes,cl,2017-09-08 13:00:00,-70.6,-32.83,53.6,66.0,75.0,10.29
los llanos de aridane,es,2017-09-08 13:30:00,-17.92,28.66,73.4,73.0,20.0,14.99
